videoId,videoPublishedAt,position,snippet.title,snippet.description,snippet.thumbnails.standard.url,snippet.tags,contentDetails.duration,contentDetails.definition,contentDetails.caption,statistics.viewCount,statistics.likeCount,statistics.commentCount
Y9bG9_oBXUs,2020-12-25T22:10:16Z,2257,"Ethio 360 Special Program ""የመተከል ጭፍጨፋ በማን ለምን ? 'በመረጃ ሲደገፍ"" Friday Dec 25, 2020","Ethio 360 Special Program ""የመተከል ጭፍጨፋ በማን ለምን ? 'በመረጃ ሲደገፍ"" Friday Dec 25, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #Dr.DanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/Y9bG9_oBXUs/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H49M55S,hd,false,43213,2017,173
hgAqZWMtBUU,2020-12-25T21:01:46Z,2258,"Ethio 360 News Friday Dec 25, 2020","Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #Dr.DanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/hgAqZWMtBUU/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT13M31S,hd,false,9878,414,49
g0LLNttFkH8,2020-12-25T19:31:13Z,2259,"Ethio 360 Zare Men Ale ""በሰለባዎች መጫሚያ ውስጥ ሆኖ መፍረድ!"" Friday Dec 25, 2020","Ethio 360 Zare Men Ale ""በሰለባዎች መጫሚያ ውስጥ ሆኖ መፍረድ!"" Friday Dec 25, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #Dr.DanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/g0LLNttFkH8/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H41M43S,hd,false,96536,3070,325
dc4loLNjOmE,2020-12-24T22:11:11Z,2260,"Ethio 360 Special Program ""ለመንግሥት የተላከው የ10ሩ ድርጅቶች የጋራ አቋም"" Thursday Dec 24, 2020","Ethio 360 Special Program ""ለመንግሥት የተላከው የ10ሩ ድርጅቶች የጋራ አቋም"" Thursday Dec 24, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #Dr.DanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/dc4loLNjOmE/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H55M41S,hd,false,51794,1318,155
-9TAmjOR4IY,2020-12-24T21:44:26Z,2261,"Ethio 360 News Thursday Dec 24, 2020","Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #Dr.DanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/-9TAmjOR4IY/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT16M55S,hd,false,21403,358,121
Sx35AMmPrE4,2020-12-24T19:30:51Z,2262,"Ethio 360 Zare Men Ale ""የመንግሥት አቋምና መጪው አደጋ"" Thursday Dec 24, 2020","Ethio 360 Zare Men Ale ""የመንግሥት አቋምና መጪው አደጋ"" Thursday Dec 24, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #Dr.DanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/Sx35AMmPrE4/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H36M7S,hd,false,90603,3364,474
VbhB6IknZ0g,2020-12-24T15:20:17Z,2263,"Ethio 360 Man yinager Tewolde Beyene (Teborne) Thursday Dec 24, 2020","Ethio 360 Man yinager Tewolde Beyene (Teborne) Thursday Dec 24, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #Dr.DanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/VbhB6IknZ0g/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT32M21S,hd,false,21514,857,64
hYlISZ5bJWU,2020-12-23T20:19:03Z,2264,Ethio 360 News Wednesday Dec 23 2020,"Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #Dr.DanielBekele #Ethiopianflag #EthiopianRegions #habesha","","['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT13M32S,hd,false,13974,470,106
UfBrd8_Js3Q,2020-12-23T19:20:12Z,2265,"Ethio 360 Zare Min Ale ""መተከል: ዳግማዊ ማካይድራ "" Wednesday Dec 23, 2020","Ethio 360 Zare Min Ale ""መተከል: ዳግማዊ ማካይድራ "" Wednesday Dec 23, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #Dr.DanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/UfBrd8_Js3Q/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H41M17S,hd,false,98829,3965,654
KSIDFyLqYP4,2020-12-23T16:22:47Z,2266,"Ethio 360 Special Program ""ያልታበሰ እንባ"" Reeyot Alemu with Meaza Mohammed Wednesday Dec 23, 2020","Ethio 360 Special Program ""ያልታበሰ እንባ"" Reeyot Alemu with Meaza Mohammed Wednesday Dec 23, 2020
Follow us on Facebook: https://www.facebook.com/EthioJournalists",https://i.ytimg.com/vi/KSIDFyLqYP4/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT41M31S,hd,false,21024,1054,100
