videoId,videoPublishedAt,position,snippet.title,snippet.description,snippet.thumbnails.standard.url,snippet.tags,contentDetails.duration,contentDetails.definition,contentDetails.caption,statistics.viewCount,statistics.likeCount,statistics.commentCount
OUjEhgEFxZA,2023-02-12T07:19:16Z,0,"Ethio 360 Special Program ልንጋፈጠው የሚገባ እውነት ክፍል ፩ Saturday Feb 11, 2023","Follow us on Facebook: https://www.facebook.com/EthioJournalists
#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/OUjEhgEFxZA/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT1H52M20S,hd,false,18218,1023,98
Hkj5KEt6wzU,2023-02-11T23:37:34Z,1,"Ethio 360 Zare Min Ale ""የቅዱስ ሲኖዶስ ውሳኔ እና የመንግሥት አዲስ ዘመቻ'' Saturday Feb 11, 2023","Ethio 360 Zare Min Ale ""የቅዱስ ሲኖዶስ ውሳኔ እና የመንግሥት አዲስ ዘመቻ'' Saturday Feb 11, 2023
https://mereja.tv/index/

#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/Hkj5KEt6wzU/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT4H40M50S,hd,false,203693,5139,290
oWJRnNjXOE0,2023-02-11T11:11:24Z,2,"Ethio 360 Special Program ""የቅዱስ ሲኖዶስ መግለጫ'' Saturday Feb 11, 2023","Ethio 360 Special Program ""የቅዱስ ሲኖዶስ መግለጫ'' Saturday Feb 11, 2023
https://mereja.tv/index/

#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/oWJRnNjXOE0/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT59M5S,hd,false,66247,1654,281
YZA8pHmo2J4,2023-02-11T01:49:54Z,3,"Ethio 360 Zare Min Ale ""ከቅዱስ ሲኖዶሱ ምን እንጠብቅ?"" Friday Feb 10, 2023","Ethio 360 Zare Min Ale ""ከቅዱስ ሲኖዶሱ ምን እንጠብቅ?"" Friday Feb 10, 2023
https://mereja.tv/index/

#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/YZA8pHmo2J4/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT7H5M34S,hd,false,277703,6722,399
nitiL1F-lv0,2023-02-10T17:27:54Z,4,"Ethio 360 ሰላማዊሰልፍ በኒውዮርክ Friday Feb 10, 2023","Ethio 360 ሰላማዊሰልፍ በኒውዮርክ Friday Feb 10, 2023
https://mereja.tv/index/

#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/nitiL1F-lv0/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT29M53S,hd,false,37253,1356,59
QVJs60sD9m4,2023-02-10T16:48:58Z,5,"Ethio 360 Daily News Friday Feb 10, 2023","Ethio 360 Special program Friday Feb 10, 2023
https://mereja.tv/index/

#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/QVJs60sD9m4/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT9M48S,hd,false,54551,1727,148
__wqOdJ27jk,2023-02-10T15:52:49Z,6,"Ethio 360 Special program የቅዱስ ሲኖዶስ ከደቂቃዎች በኋላ መግለጫ Friday Feb 10, 2023","Ethio 360 Special program የቅዱስ ሲኖዶስ ከደቂቃዎች በኋላ መግለጫ Friday Feb 10, 2023
https://mereja.tv/index/

#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/__wqOdJ27jk/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT57M33S,hd,false,108932,3414,113
jEP4ZjS1YN4,2023-02-09T23:36:20Z,7,"Ethio 360 Zare Min Ale ""የቅዱስ ሲኖዶስ የሰማዕትነት ጥሪ!"" Thursday Feb 9, 2023","Ethio 360 Zare Min Ale ""የቅዱስ ሲኖዶስ የሰማዕትነት ጥሪ!"" Thursday Feb 9, 2023
https://mereja.tv/index/

#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/jEP4ZjS1YN4/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT5H31M34S,hd,false,412803,14489,506
_qR2qm_JT8M,2023-02-09T16:39:33Z,8,"Ethio 360Daily News Thursday Feb 9, 2023","Ethio 360Daily News Thursday Feb 9, 2023
https://mereja.tv/index/

#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/_qR2qm_JT8M/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT12M55S,hd,false,72778,2749,132
nN0sC0vj4Xw,2023-02-09T15:21:18Z,9,"Ethio 360 ቀጥታ ሥርጭት ከመንበረ ፓትርያርክ የቅዱስ ሲኖዶስ መግለጫ Thursday Feb 9, 2023","Ethio 360 ቀጥታ ሥርጭት ከመንበረ ፓትርያርክ የቅዱስ ሲኖዶስ መግለጫ Thursday Feb 9, 2023
https://mereja.tv/index/

#Ethio360 #ZareMenAle #Ethiopia #Addisababa #Ethiopianpoltics #Ethiopian #AbiyAhmed #EthiopianFederalism #EthiopianElection #DrDanielBekele #Ethiopianflag #EthiopianRegions #habesha",https://i.ytimg.com/vi/nN0sC0vj4Xw/sddefault.jpg,"['Ethio 360 Media', 'ESAT', 'ESAT eletawi', 'Min ale zare']",PT22M53S,hd,false,88261,3617,225
